,year,Attack on Titan Interest Over Time
0,2015,25.0
1,2016,18.596153846153847
2,2017,22.81132075471698
3,2018,15.673076923076923
4,2019,14.596153846153847
5,2020,22.28846153846154
6,2021,75.5
