,year,Fullmetal Alchemist Interest Time
0,2015,99.0
1,2016,71.3076923076923
2,2017,33.9811320754717
3,2018,41.84615384615385
4,2019,34.78846153846154
5,2020,61.17307692307692
6,2021,72.0
